training_size,model_type,trial_id,lambda,df,aicc
1347,lasso,1,0.003941824896027763,41,-1116.059610332213
1347,lasso,1,0.003591644036389309,41,-1121.5379114728478
1347,lasso,1,0.0032725722791822434,41,-1126.5266681417418
1347,lasso,1,0.0029818459774868414,40,-1133.1761178245704
1347,lasso,1,0.0027169469991587957,40,-1137.2820147878576
1347,lasso,1,0.0024755809159732363,39,-1143.1426995532495
1347,lasso,1,0.0022556571303850815,39,-1146.540224969603
1347,lasso,1,0.002055270767773226,40,-1147.5179769190643
1347,lasso,1,0.0018726861773278505,40,-1150.3692468366562
1347,lasso,1,0.001706321898673424,40,-1152.973778855697
1347,lasso,1,0.0015547369640154917,40,-1155.3562870832318
1347,lasso,1,0.0014166184171669836,40,-1157.540724421034
1347,lasso,1,0.0012907699413498308,40,-1159.516465669173
1347,lasso,1,0.0011761014972713401,40,-1161.4117418284516
1347,lasso,1,0.0010716198817253078,40,-1163.1213899030765
1347,lasso,1,9.76420124940986e-4,40,-1164.7546186711236
1347,lasso,1,8.896776521678592e-4,41,-1164.1786433515676
1347,lasso,1,8.106411416036242e-4,43,-1161.4160062282763
1347,lasso,1,7.386260168041648e-4,45,-1158.5985860685892
1347,lasso,1,6.730085172098884e-4,45,-1159.997134813414
1347,lasso,1,6.132202954301606e-4,45,-1161.3030171798518
1347,lasso,1,5.587434944900997e-4,45,-1162.5071583103509
1347,lasso,1,5.091062624011989e-4,45,-1163.5989697135553
1347,lasso,1,4.638786652051319e-4,45,-1164.5672279536107
1347,lasso,1,4.226689630914823e-4,46,-1163.2715571713813
1347,lasso,1,3.85120217334911e-4,46,-1164.0099755459926
1347,lasso,1,3.5090719866267373e-4,46,-1164.6423161824716
1347,lasso,1,3.197335702742473e-4,46,-1165.188048463002
1347,lasso,1,2.9132932111372865e-4,46,-1165.6510853616312
1347,lasso,1,2.654484271632394e-4,46,-1166.0460002795373
1347,lasso,1,2.418667205005789e-4,47,-1164.275698205452
1347,lasso,1,2.2037994766392217e-4,47,-1164.5956927848324
1347,lasso,1,2.008020005060466e-4,47,-1164.8686295458085
1347,lasso,1,1.8296330421459328e-4,47,-1165.1021860507633
1347,lasso,1,1.6670934853616552e-4,48,-1163.0958344808732
1347,lasso,1,1.518993494824303e-4,48,-1163.3299485729672
1347,lasso,1,1.384050299265611e-4,48,-1163.4314007286616
1347,lasso,1,1.2610950852813218e-4,48,-1163.6117157272522
1347,lasso,1,1.1490628736286271e-4,48,-1163.6837861751942
1347,lasso,1,1.046983294885444e-4,48,-1163.8259418050045
1347,lasso,1,9.539721845746972e-5,48,-1163.8734579679137
1347,lasso,1,8.692239249545953e-5,48,-1163.988429409962
1347,lasso,1,7.920044671431522e-5,48,-1164.0205403933273
1347,lasso,1,7.21644973137934e-5,48,-1164.0669276812396
1347,lasso,1,6.575360226612481e-5,48,-1164.1602066018081
1347,lasso,1,5.991223346532396e-5,48,-1164.1807395530298
1347,lasso,1,5.458979576929923e-5,48,-1164.2079075595775
1347,lasso,1,4.974018876893636e-5,48,-1164.273457866861
1347,lasso,1,4.532140748840876e-5,48,-1164.2850648142098
108,lasso,2,0.25528562190349163,0,-1.7053025658242404e-13
108,lasso,2,0.2326067508502422,1,-2.89647606221598
108,lasso,2,0.21194260819577562,2,-6.134482097262928
108,lasso,2,0.19311421102196819,2,-12.259218307304263
108,lasso,2,0.17595847675984472,2,-17.569087176927336
108,lasso,2,0.16032681064638338,2,-22.2101697433999
108,lasso,2,0.14608381866776485,4,-22.952509462649676
