training_size,model_type,seeds,lambda_min,lambda_1se,lambda_aicc,df
108,lasso,72091,0.074051290020177,0.10743574264602199,3.280932345251636e-5,29
540,lasso,87577,0.005616682940192273,0.01562875392444836,2.1146450716930297e-5,48
1347,lasso,76097,8.32036728345425e-5,0.0013560125524559854,3.952848544266209e-5,49
108,ridge,887,0.1956553868964605,0.9513941934710264,0.020979485817882275,45
540,ridge,457,0.24500160065499074,1.0855093490043985,0.018107387282099242,46
1347,ridge,167,0.022373242201489393,0.1578388007813352,0.018574658731748187,53
