training_size,trial_i,rf_mtry,rf_ntree,rf_replace,trial_seed,total,correct,accuracy,misclassification,trial_run,seed
540.0,19,1,10.0,TRUE,49897,2155,1821,0.8450116009280743,0.15498839907192574,19,49897
1347.0,19,1,10.0,TRUE,72937,1348,1102,0.8175074183976261,0.18249258160237392,19,72937
108.0,20,1,10.0,TRUE,8030,2587,1817,0.7023579435639737,0.29764205643602626,20,8030
540.0,20,1,10.0,TRUE,43528,2155,1782,0.8269141531322506,0.17308584686774942,20,43528
1347.0,20,1,10.0,TRUE,23645,1348,1177,0.8731454005934718,0.1268545994065282,20,23645
108.0,21,1,10.0,TRUE,79110,2587,2123,0.820641669887901,0.179358330112099,21,79110
540.0,21,1,10.0,TRUE,25853,2155,1846,0.8566125290023202,0.1433874709976798,21,25853
1347.0,21,1,10.0,TRUE,98538,1348,1134,0.841246290801187,0.15875370919881304,21,98538
108.0,22,1,10.0,TRUE,75640,2587,1796,0.6942404329339003,0.30575956706609975,22,75640
540.0,22,1,10.0,TRUE,97916,2155,1833,0.8505800464037123,0.14941995359628768,22,97916
1347.0,22,1,10.0,TRUE,21881,1348,1154,0.8560830860534124,0.14391691394658757,22,21881
108.0,23,1,10.0,TRUE,94809,2587,2016,0.7792810204870506,0.2207189795129494,23,94809
540.0,23,1,10.0,TRUE,14936,2155,1785,0.8283062645011601,0.17169373549883993,23,14936
1347.0,23,1,10.0,TRUE,59995,1348,1175,0.8716617210682492,0.12833827893175076,23,59995
108.0,24,1,10.0,TRUE,94578,2587,2074,0.801700811751063,0.198299188248937,24,94578
540.0,24,1,10.0,TRUE,68788,2155,1831,0.8496519721577727,0.15034802784222734,24,68788
1347.0,24,1,10.0,TRUE,50518,1348,1170,0.8679525222551929,0.13204747774480707,24,50518
108.0,25,1,10.0,TRUE,37267,2587,1778,0.6872825666795516,0.31271743332044843,25,37267
540.0,25,1,10.0,TRUE,33556,2155,1799,0.8348027842227378,0.1651972157772622,25,33556
1347.0,25,1,10.0,TRUE,4822,1348,1131,0.8390207715133531,0.16097922848664692,25,4822
108.0,26,1,10.0,TRUE,61849,2587,2073,0.8013142636258214,0.19868573637417863,26,61849
540.0,26,1,10.0,TRUE,96072,2155,1842,0.8547563805104408,0.14524361948955922,26,96072
1347.0,26,1,10.0,TRUE,65446,1348,1092,0.8100890207715133,0.18991097922848665,26,65446
108.0,27,1,10.0,TRUE,50990,2587,2044,0.7901043679938152,0.20989563200618477,27,50990
540.0,27,1,10.0,TRUE,14998,2155,1873,0.8691415313225058,0.13085846867749418,27,14998
1347.0,27,1,10.0,TRUE,86976,1348,1138,0.844213649851632,0.15578635014836795,27,86976
108.0,28,1,10.0,TRUE,51403,2587,2166,0.8372632392732895,0.1627367607267105,28,51403
540.0,28,1,10.0,TRUE,865,2155,1775,0.8236658932714617,0.17633410672853833,28,865
1347.0,28,1,10.0,TRUE,1918,1348,1133,0.8405044510385756,0.15949554896142437,28,1918
108.0,29,1,10.0,TRUE,14440,2587,2115,0.8175492848859683,0.18245071511403166,29,14440
540.0,29,1,10.0,TRUE,30478,2155,1838,0.8529002320185615,0.14709976798143853,29,30478
1347.0,29,1,10.0,TRUE,82495,1348,1162,0.8620178041543026,0.13798219584569738,29,82495
108.0,30,1,10.0,TRUE,50191,2587,2090,0.8078855817549285,0.19211441824507147,30,50191
540.0,30,1,10.0,TRUE,80287,2155,1806,0.8380510440835267,0.1619489559164733,30,80287
