training_size,model_type,seeds,lambda,df,cvm,cvup,cvlo,cvsd
108,lasso,72091,0.24819049993706624,0,0.44036697247706424,0.4898160160240436,0.39091792893008487,0.04944904354697939
108,lasso,72091,0.22614193996433848,1,0.44036697247706424,0.4898160160240436,0.39091792893008487,0.04944904354697939
108,lasso,72091,0.20605211329121015,2,0.41284403669724773,0.47428972333316266,0.3513983500613328,0.06144568663591495
108,lasso,72091,0.18774701144984007,3,0.3394495412844037,0.41354498018026176,0.2653541023885456,0.07409543889585807
108,lasso,72091,0.1710680844050826,3,0.30275229357798167,0.3874989505611144,0.21800563659484895,0.08474665698313273
108,lasso,72091,0.15587086726993218,3,0.27522935779816515,0.353182930615723,0.19727578498060733,0.07795357281755781
108,lasso,72091,0.14202372901978302,4,0.2018348623853211,0.24440536331188273,0.1592643614587595,0.04257050092656161
108,lasso,72091,0.1294067323674649,6,0.21100917431192662,0.2561765992395038,0.16584174938434942,0.045167424927577186
108,lasso,72091,0.1179105949238388,6,0.1834862385321101,0.2220320260265734,0.1449404510376468,0.0385457874944633
108,lasso,72091,0.10743574264602199,7,0.1743119266055046,0.2089791590962484,0.1396446941147608,0.03466723249074379
108,lasso,72091,0.09789144737466379,9,0.1743119266055046,0.2031413861704261,0.1454824670405831,0.028829459564921493
108,lasso,72091,0.08919504099003303,9,0.1651376146788991,0.195123482745638,0.13515174661216017,0.029985868066738915
108,lasso,72091,0.08127119938031253,10,0.1559633027522936,0.1863057133938988,0.1256208921106884,0.03034241064160519
108,lasso,72091,0.074051290020177,10,0.14678899082568808,0.18050260919622801,0.11307537245514813,0.03371361837053995
108,lasso,72091,0.0674727775086919,12,0.1559633027522936,0.1918985382921594,0.12002806721242779,0.0359352355398658
108,lasso,72091,0.06147868191758691,13,0.1559633027522936,0.1918985382921594,0.12002806721242779,0.0359352355398658
108,lasso,72091,0.05601708525837598,14,0.1559633027522936,0.1918985382921594,0.12002806721242779,0.0359352355398658
108,lasso,72091,0.0510406817935782,15,0.1559633027522936,0.1918985382921594,0.12002806721242779,0.0359352355398658
108,lasso,72091,0.046506368297050384,15,0.14678899082568808,0.18314758951314203,0.11043039213823413,0.03635859868745394
108,lasso,72091,0.04237487071446244,16,0.14678899082568808,0.18314758951314203,0.11043039213823413,0.03635859868745394
108,lasso,72091,0.03861040399022713,16,0.14678899082568808,0.18314758951314203,0.11043039213823413,0.03635859868745394
108,lasso,72091,0.03518036211446784,19,0.14678899082568808,0.18314758951314203,0.11043039213823413,0.03635859868745394
108,lasso,72091,0.032055035705359454,19,0.14678899082568808,0.18314758951314203,0.11043039213823413,0.03635859868745394
108,lasso,72091,0.029207354680675736,19,0.14678899082568808,0.18314758951314203,0.11043039213823413,0.03635859868745394
108,lasso,72091,0.02661265378968714,22,0.14678899082568808,0.18314758951314203,0.11043039213823413,0.03635859868745394
108,lasso,72091,0.024248458974558653,22,0.14678899082568808,0.18314758951314203,0.11043039213823413,0.03635859868745394
108,lasso,72091,0.022094292710812233,22,0.14678899082568808,0.18314758951314203,0.11043039213823413,0.03635859868745394
108,lasso,72091,0.02013149664080604,23,0.14678899082568808,0.18314758951314203,0.11043039213823413,0.03635859868745394
108,lasso,72091,0.018343069963966546,23,0.14678899082568808,0.18314758951314203,0.11043039213823413,0.03635859868745394
